module	symbol	disposition	purpose	production_consumers	test_consumers
testing/workbookHistoryTestSupport.ts	historyDiffFixture	KEEP test support	Shared semantic event and explicitly accepted page fixtures; tests only	none (test support)	workbook/WorkbookShell.history.test.tsx; workbook/WorkbookShell.inspector.test.tsx; workbook/adapters/createWorkbookRecordHistoryAdapter.test.ts; workbook/history/HistoryActionLookup.test.ts; workbook/history/WorkbookBatchHistoryReview.test.tsx; workbook/history/WorkbookHistoryRecovery.test.tsx; workbook/history/WorkbookRecordHistoryOwner.test.ts; workbook/history/workbookHistoryBrowsing.characterization.test.tsx; workbook/history/workbookHistoryBrowsing.test.ts; workbook/inspector/WorkbookInspectorRecordHistory.test.tsx; workbook/inspector/workbookHistoryPresentationModel.test.ts; workbook/inspector/workbookRecordHistoryModel.test.ts; workbook/timeline/adapters/createTimelineActionAdapters.test.ts
testing/workbookHistoryTestSupport.ts	historyPresentationFixture	KEEP test support	Shared semantic event and explicitly accepted page fixtures; tests only	none (test support)	workbook/history/workbookHistoryBrowsing.characterization.test.tsx; workbook/inspector/workbookRecordHistoryModel.test.ts; workbook/timeline/useTimelineCompositionLifecycle.test.tsx
workbook/history/HistoryActionLookup.ts	HistoryActionLookup	KEEP named boundary	Incremental paged lookup for a retained History action without treating paused scans as absence	workbook/history/WorkbookRecordHistoryOwner.ts; workbook/inspector/useWorkbookRecordHistoryController.ts	workbook/history/HistoryActionLookup.test.ts
workbook/history/HistoryLookupFeedback.tsx	HistoryLookupFeedback	KEEP named boundary	History action lookup progress, paused-search, failure, and continuation feedback	workbook/history/WorkbookHistoryLocalStatus.tsx; workbook/history/WorkbookHistoryRecovery.tsx; workbook/history/WorkbookHistoryReview.tsx; workbook/inspector/WorkbookInspectorRecordHistory.tsx	none
workbook/history/HistoryPageLookup.ts	HistoryLookupState	KEEP named boundary	Shared bounded read search, page validation, cancellation and authority fencing	workbook/history/HistoryLookupFeedback.tsx; workbook/history/workbookHistoryOperation.ts; workbook/inspector/useWorkbookRecordHistoryController.ts; workbook/inspector/workbookRecordHistoryModel.ts	none
workbook/history/HistoryPageLookup.ts	HistoryPageLookup	KEEP named boundary	Shared bounded read search, page validation, cancellation and authority fencing	workbook/history/HistoryActionLookup.ts; workbook/inspector/useWorkbookRecordHistoryController.ts	workbook/history/HistoryActionLookup.test.ts
workbook/history/WorkbookHistoryContext.ts	WorkbookHistoryContext	KEEP named boundary	React access to History runtime, surface refresh, action permissions, and pending records	workbook/WorkbookShell.tsx	testing/TimelineWorkbookRuntimeFixture.tsx; workbook/features/entities/WorkbookEntityMergeRecovery.test.tsx; workbook/features/entities/entityInspectorEditing.test.tsx; workbook/history/WorkbookBatchHistoryReview.test.tsx; workbook/history/WorkbookHistoryRecovery.test.tsx; workbook/inspector/WorkbookInspectorRecordHistory.test.tsx; workbook/timeline/useTimelineCompositionLifecycle.test.tsx
workbook/history/WorkbookHistoryContext.ts	useWorkbookHistoryRuntime	KEEP named boundary	React access to History runtime, surface refresh, action permissions, and pending records	workbook/history/WorkbookHistoryLocalStatus.tsx; workbook/history/WorkbookHistoryRecovery.tsx; workbook/history/WorkbookHistoryReview.tsx; workbook/inspector/WorkbookInspectorRecordHistory.tsx; workbook/inspector/useWorkbookRecordHistoryController.ts; workbook/timeline/hooks/useTimelineCommittedRows.ts	none
workbook/history/WorkbookHistoryContext.ts	useWorkbookHistorySurfaceRefresh	KEEP named boundary	React access to History runtime, surface refresh, action permissions, and pending records	workbook/features/assessments/useAssessmentWorkbookInspectorComposition.tsx; workbook/features/entities/useEntityWorkbookInspectorComposition.tsx; workbook/features/generic/useGenericWorkbookInspectorComposition.tsx; workbook/timeline/hooks/useTimelineHistoryActions.ts	none
workbook/history/WorkbookHistoryContext.ts	useHistoryActionPermission	KEEP named boundary	React access to History runtime, surface refresh, action permissions, and pending records	workbook/inspector/WorkbookRecordHistoryPresentation.tsx	none
workbook/history/WorkbookHistoryContext.ts	useHistoryRecordPending	KEEP named boundary	React access to History runtime, surface refresh, action permissions, and pending records	workbook/inspector/WorkbookInspectorRecordHistory.tsx	none
workbook/history/WorkbookHistoryLocalStatus.tsx	WorkbookHistoryLocalStatus	KEEP named boundary	Record-local History operation status	workbook/inspector/WorkbookInspectorRecordHistory.tsx	none
workbook/history/WorkbookHistoryRecovery.tsx	WorkbookHistoryRecovery	KEEP named boundary	Retained History operation replay, lookup, and reconciliation recovery presentation	workbook/WorkbookShell.tsx	workbook/history/WorkbookHistoryRecovery.test.tsx
workbook/history/WorkbookHistoryReview.tsx	WorkbookHistoryReview	KEEP named boundary	Explicit Recovery review using current row History and existing confirmed actions	workbook/components/WorkbookBatchRecovery.tsx	none
workbook/history/WorkbookRecordHistoryOwner.ts	WorkbookRecordHistoryOwner	KEEP named boundary	Record History operation admission, captured attempts, acknowledgement, and recovery ownership	workbook/features/coordination/reconcileDecisionReceipt.ts; workbook/features/indicators/reconcileIndicatorCreateReceipt.ts; workbook/features/indicators/reconcileIndicatorLifecycleReceipt.ts; workbook/features/indicators/reconcileObservationReceipt.ts; workbook/history/WorkbookHistoryRecovery.tsx; workbook/inspector/useWorkbookRecordHistoryController.ts; workbook/runtime/WorkbookMutationRuntime.ts; workbook/timeline/actions/reconcileTimelineCaptureReceipt.ts	workbook/features/coordination/decisionSupersessionReconciliation.test.tsx; workbook/features/indicators/indicatorCreateReconciliation.test.ts; workbook/features/indicators/indicatorLifecycleReconciliation.test.tsx; workbook/features/indicators/observationReconciliation.test.tsx; workbook/history/HistoryActionLookup.test.ts; workbook/history/WorkbookRecordHistoryOwner.test.ts; workbook/history/workbookHistoryBrowsing.characterization.test.tsx; workbook/inspector/WorkbookInspectorRecordHistory.test.tsx; workbook/inspector/workbookHistoryRecovery.characterization.test.tsx; workbook/timeline/useTimelineCompositionLifecycle.test.tsx
workbook/history/historyOperationPresentation.ts	historyOperationStatus	KEEP named boundary	Projects History operation state into user-facing status	workbook/history/WorkbookHistoryLocalStatus.tsx; workbook/history/WorkbookHistoryRecovery.tsx	none
workbook/history/workbookHistoryBrowsing.ts	HistoryReadKind	KEEP named boundary	Pure History browsing state transitions for initial, continuation, and refresh reads	workbook/inspector/useWorkbookRecordHistoryController.ts	none
