id	scope	pass_condition	required_evidence
A001	Authority	Every observable behavior change maps to exact adopted owner clauses; source ownership and verification routing are distinguished; advisory material and historical implementation did not become authority.	Owner-to-change map and independent source/verification mapping
A002	Scope	One coherent structural boundary hides a real common decision; the rubric records remediation, rationale, long-term benefit, plausible extension path, unresolved risk, and explicit retirement/retention; authorized behavior corrections are distinct from structural movement.	START_HERE.md selection rubric assessment, migrated-caller/removal review, and scope/diff review
A003	Repository state	Actual branch/commit/dirty state, stack, local source guides, source/import boundaries, independent verification owners, generated paths, and direct grid imports were inspected; relevant localization drift is recorded.	Current authored manifests and source inspection; REPO_MAP.tsv as navigation, not a substitute for current evidence
A004	Tokens	No component-local design literal or second token/theme/density registry was introduced.	Token audit
A005	Theme	Only current owner-supported dark_graphite behavior is exposed; no generated cybersecurity palette appears.	Theme fixture and diff
A006	Density	One shared density selection controls row/header height, block/inline padding, typography, gutters, saved/draft/read-only content, and full-cell editor geometry.	Computed density geometry, grid-owner, measurement, and visual fixtures
A007	Creation	Creation uses owner-declared capabilities, interaction authority, create-writable fields/inputs, and applicable inline_create policy without imposing inline creation on declared alternatives. Ordinary minima and Evidence/Indicator exceptions remain owner-defined; contextual source identity and explicit replacement/clearing preserve authored fields where required.	Capability/route and payload checks; ordinary/contextual authoring, source-change, read-only, and permission-loss scenarios selected through the owner guide
A008	Responsive	Validated CSS-length accessors and token-backed inline-size thresholds select chrome; innerWidth/innerHeight replace absent visualViewport; inspector clamp geometry and ARIA state agree; vertical-only resize preserves required controls.	Boundary, fallback, 1024x720, 768x640, below-minimum, vertical-resize, clamp, and ARIA fixtures
A009	Overflow	Grid/inspector scroll inside shell ownership; status strip and safe account/application navigation remain reachable.	Overflow/navigation fixture
A010	Inspector	Current inspector features resolve exactly once by stable semantic route identity; required disabled rendering and unknown-additive omission remain intact. Review/confirmation invalidates on the governing context or authority changes while owner-retained draft and operation state survives presentation detachment.	Dispatcher, role/state, source change, review invalidation, detachment, and late-outcome evidence
A011	Continuity	Owner-required row, scroll, selection, focus, raw authoring, and explicit source continuity survive inspector/view/refresh transitions. Presentation reattachment or late responses do not silently retarget retained work.	Semantic continuity, source replacement/clearing, navigation/detachment, and late-response scenarios
A012	Transactions	Fresh client_txn_id values use Web Crypto randomness. Uncertain replay retains the owner-captured request identity and exact bytes rather than rebuilding from current drafts; duplicate activation admits no duplicate attempt.	Captured request/identity, same-frame activation, uncertain replay, dispatch fencing, and late-receipt checks
A013	Acknowledgement and recovery	Queue client_txn_conflict recovery exposes owner-defined fresh-ID Retry and Discard; other terminal failures do not permit re-key retry. Uncertain attempts retain their captured request. Acknowledgement is independent of presentation and refresh; recovery after an acknowledged write performs reads without resending that write.	Queue retry/discard, exact replay, detachment, acknowledged-write/failed-refresh, and owner-specific recovery evidence
A014	Editing	Owner-required single-click editing, keyboard/paste, raw draft retention, commit/cancel, and Escape behavior remain deterministic across failed validation, navigation, and scoped authority changes; no unsupported persistence is added.	Editing/authoring state transitions, validation retention, accessible recovery, and lifetime-boundary scenarios
A015	Conflict	Affected cell is primary locus; saved value and local draft remain distinct; toast is not sole unresolved state.	Conflict fixture
A016	Query data and interaction states	Query loading/refresh/empty/unavailable/stale/failure and interaction editable/read-only/closed/access-loss states remain separately owned and compose through adopted presentation semantics; feedback and admission agree without inferring permission from available data.	Producer/Grid Adapter data-by-interaction matrix and current typed presentation projection
A017	Refresh and authorization scope	Authorized prior rows remain during owner-permitted refresh/failure; protected content is suppressed or cleared when its owner requires. Incident exit differs from account-session recovery; same-account retained work and prior-account clearing follow REQ-03-299/100 rather than a generic clear-all policy.	Retained stale data, permission uncertainty/loss, scoped revocation, reauthentication, account replacement, and late-response evidence
A018	Evidence	Required evidence lifecycle/overlay/preview combinations remain distinct and non-color encoded.	Evidence matrix fixture
A019	Accessibility	Applicable keyboard parity, visible/unobscured focus, accessible names, live-region priority, non-color cues, contrast, reduced motion, and recovery focus pass under the adopted profile without importing extra upstream conformance claims.	Owner-selected accessibility and keyboard/focus recovery scenarios; current task-guide/public readiness selection
A020	Components	Applicable component variants and compound-state precedence render deterministically; density, long tokens/content, supported zoom/text spacing, and overflow remain usable without hiding authoring or recovery controls.	Owner-relevant component/state, density/geometry, long-content, text-spacing/zoom, and overflow scenarios
A021	Virtualization	All workbook result sizes retain stable virtualized row identity and semantic focus/scroll behavior; loading, refresh, permission changes, and recovery do not corrupt continuity or introduce fake authoritative rows.	Production Grid Adapter/producer continuity and relevant performance/measurement evidence
A022	Visual fixtures	Applicable visual cases exercise the relevant production renderer with owner-declared viewport, theme, density, scroll, mask, and crop settings; visual artifacts remain implementation support unless a separate publication boundary applies.	tools/frontend_visual_fixture_registry.json; visual maintenance guide and current public target; manually reviewed relevant artifacts
A023	Selectors	Tests use fixture ID, view_schema_id, record_id, field_key, semantic icon ID, or owner state/capability.	packages/ui-contracts/src/index.ts and make test-slice OWNER=package.ui
A024	Test authority	No executable test, generator, conformance check, release artifact, or runtime dependency reads, stats, or hashes digest/Markdown content or binds behavior to prose, paths, line numbers, hashes, formatting, or documentation structure.	Test/dependency audit and owner-routed verification
A025	Generated artifacts	Generated outputs change only through their authored owners and repository generators; policy/drift checks are selected for the actual change. Documentation-only work does not repair unrelated generated drift.	tools/generated_artifact_policy.json, authored input/output review, and current owner-selected generation/drift evidence when applicable
A026	Authority and compatibility	No route, schema, field, write, authorization, lifecycle, storage, evidence, or compatibility behavior was invented. Preserved compatibility has an adopted obligation or actual supported consumer; migration/rollback and retirement or justified retention of redundant implementations are explicit.	Owner boundary and consumer review; interface/data impact and migration/retirement decision, including an explicit no-migration result when appropriate
A027	Handoff	The handoff records owners, changed behavior/paths, substantive edits, compatibility, commands/results/artifacts, failures, limitations, skipped checks/reasons, rollback, and next action; each workstream exit and tracker update precedes its dependent. Applicable acceptance rows are PASS; N/A has scope/owner rationale; any applicable BLOCKED row prevents completion.	Completed controlling tracker and evidence-backed acceptance assessment; no fresh product pass inferred from a digest update
