path	disposition	owner
.markdownlint-cli2.jsonc	modified	documentation maintenance
apps/web/e2e/timeline-public-route.spec.ts	modified	authored browser verification catalog
apps/web/e2e/workbook-query-browsing.spec.ts	modified	authored browser verification catalog
apps/web/src/testing/README.md	modified	web.shared, web.testing
apps/web/src/testing/TimelineWorkbookRuntimeFixture.tsx	modified	web.testing
apps/web/src/testing/workbookHistoryTestSupport.ts	added	web.testing
apps/web/src/workbook/WorkbookShell.assessments.test.tsx	modified	web.workbook
apps/web/src/workbook/WorkbookShell.history.test.tsx	modified	web.workbook
apps/web/src/workbook/WorkbookShell.inspector.test.tsx	modified	web.workbook
apps/web/src/workbook/WorkbookShell.surfaces.test.tsx	modified	web.workbook
apps/web/src/workbook/WorkbookShell.tsx	modified	web.workbook
apps/web/src/workbook/adapters/createAssessmentAppendTransport.ts	modified	web.workbook
apps/web/src/workbook/adapters/createContextualCreateTransport.ts	modified	web.workbook
apps/web/src/workbook/adapters/createCoordinationCreateTransport.ts	modified	web.workbook
apps/web/src/workbook/adapters/createDecisionCandidateReader.ts	modified	web.workbook
apps/web/src/workbook/adapters/createEvidenceFileTransport.ts	modified	web.workbook
apps/web/src/workbook/adapters/createIndicatorCreateTransport.ts	modified	web.workbook
apps/web/src/workbook/adapters/createIndicatorLifecycleAdapter.ts	modified	web.workbook
apps/web/src/workbook/adapters/createIndicatorLifecycleReader.ts	modified	web.workbook
apps/web/src/workbook/adapters/createNoteAssociationTransport.ts	modified	web.workbook
apps/web/src/workbook/adapters/createNoteCreateTransport.ts	modified	web.workbook
apps/web/src/workbook/adapters/createObservationReader.ts	modified	web.workbook
apps/web/src/workbook/adapters/createOrdinaryCreateTransport.ts	modified	web.workbook
apps/web/src/workbook/adapters/createPartyCreationTransport.ts	modified	web.workbook
apps/web/src/workbook/adapters/createPartyLinkReader.ts	modified	web.workbook
apps/web/src/workbook/adapters/createTimelineFileLinkTransport.ts	modified	web.workbook
apps/web/src/workbook/adapters/createTimelineRelatedEvidenceTransport.ts	modified	web.workbook
apps/web/src/workbook/adapters/createWorkbookAuthoringReader.ts	modified	web.workbook
apps/web/src/workbook/adapters/createWorkbookBatchTransport.ts	modified	web.workbook
apps/web/src/workbook/adapters/createWorkbookDecisionSupersessionAdapter.ts	modified	web.workbook
apps/web/src/workbook/adapters/createWorkbookPendingMutationAdapter.test.ts	modified	web.workbook
apps/web/src/workbook/adapters/createWorkbookPendingMutationAdapter.ts	modified	web.workbook
apps/web/src/workbook/adapters/createWorkbookRecordHistoryAdapter.test.ts	modified	web.workbook
apps/web/src/workbook/adapters/createWorkbookRecordHistoryAdapter.ts	modified	web.workbook
apps/web/src/workbook/adapters/createWorkbookViewQueryAdapter.test.ts	modified	web.workbook
apps/web/src/workbook/adapters/createWorkbookViewQueryAdapter.ts	modified	web.workbook
apps/web/src/workbook/adapters/sendWorkbookRecordMutation.ts	modified	web.workbook
apps/web/src/workbook/adapters/workbookRecordPatchTransport.ts	modified	web.workbook
apps/web/src/workbook/components/AssessmentWorkbookSurface.tsx	modified	web.workbook
apps/web/src/workbook/components/EntityWorkbookSurface.tsx	modified	web.workbook
apps/web/src/workbook/components/GenericWorkbookSurface.tsx	modified	web.workbook
