Start Time,End Time,Source IP,Destination IP,Source Port,Destination Port,Protocol,Bytes,Packets,Input Interface,Output Interface
2026-07-10T12:00:00Z,2026-07-10T12:00:05Z,192.0.2.10,192.0.2.20,443,51515,6,1200,12,Gi0/1,Gi0/2
2026-07-10T12:01:00Z,2026-07-10T12:01:05Z,2001:db8::10,2001:db8::20,444,51516,6,1300,13,,
2026-07-10T12:02:00Z,2026-07-10T12:02:05Z,192.0.2.10,192.0.2.20,445,51517,6,1400,14,Gi0/1,Gi0/2
2026-07-10T12:03:00Z,2026-07-10T12:03:05Z,2001:db8::10,2001:db8::20,446,51518,6,1500,15,,
2026-07-10T12:04:00Z,2026-07-10T12:04:05Z,192.0.2.10,192.0.2.20,447,51519,6,1600,16,Gi0/1,Gi0/2
2026-07-10T12:05:00Z,2026-07-10T12:05:05Z,2001:db8::10,2001:db8::20,448,51520,6,1700,17,,
2026-07-10T12:06:00Z,2026-07-10T12:06:05Z,192.0.2.10,192.0.2.20,449,51521,6,1800,18,Gi0/1,Gi0/2
2026-07-10T12:07:00Z,2026-07-10T12:07:05Z,2001:db8::10,2001:db8::20,450,51522,6,1900,19,,
2026-07-10T12:08:00Z,2026-07-10T12:08:05Z,192.0.2.10,192.0.2.20,451,51523,6,2000,20,Gi0/1,Gi0/2
2026-07-10T12:09:00Z,2026-07-10T12:09:05Z,2001:db8::10,2001:db8::20,452,51524,6,2100,21,,
2026-07-10T12:10:00Z,2026-07-10T12:10:05Z,192.0.2.10,192.0.2.20,453,51525,6,2200,22,Gi0/1,Gi0/2
2026-07-10T12:11:00Z,2026-07-10T12:11:05Z,2001:db8::10,2001:db8::20,454,51526,6,2300,23,,
