Start Time,End Time,Source IP,Destination IP,Source Port,Destination Port,Protocol,Bytes,Packets,Input Interface,Output Interface
2026-07-10T12:00:00Z,2026-07-10T12:00:05Z,192.0.2.10,192.0.2.20,443,51515,6,1200,12,Gi0/1,Gi0/2
2026-07-10T12:01:00Z,2026-07-10T12:01:05Z,2001:db8::10,2001:db8::20,444,51516,6,1300,13,,
2026-07-10T12:02:00Z,2026-07-10T12:02:05Z,192.0.2.10,192.0.2.20,445,51517,6,1400,14,Gi0/1,Gi0/2
2026-07-10T12:03:00Z,2026-07-10T12:03:05Z,2001:db8::10,2001:db8::20,446,51518,6,1500,15,,
2026-07-10T12:04:00Z,2026-07-10T12:04:05Z,192.0.2.10,192.0.2.20,447,51519,6,1600,16,Gi0/1,Gi0/2
2026-07-10T12:05:00Z,2026-07-10T12:05:05Z,2001:db8::10,2001:db8::20,448,51520,6,1700,17,,
2026-07-10T12:06:00Z,2026-07-10T12:06:05Z,192.0.2.10,192.0.2.20,449,51521,6,1800,18,Gi0/1,Gi0/2
2026-07-10T12:07:00Z,2026-07-10T12:07:05Z,2001:db8::10,2001:db8::20,450,51522,6,1900,19,,
2026-07-10T12:08:00Z,2026-07-10T12:08:05Z,192.0.2.10,192.0.2.20,451,51523,6,2000,20,Gi0/1,Gi0/2
2026-07-10T12:09:00Z,2026-07-10T12:09:05Z,2001:db8::10,2001:db8::20,452,51524,6,2100,21,,
2026-07-10T12:10:00Z,2026-07-10T12:10:05Z,192.0.2.10,192.0.2.20,453,51525,6,2200,22,Gi0/1,Gi0/2
2026-07-10T12:11:00Z,2026-07-10T12:11:05Z,2001:db8::10,2001:db8::20,454,51526,6,2300,23,,
2026-07-10T12:12:00Z,2026-07-10T12:12:05Z,192.0.2.10,192.0.2.20,455,51527,6,2400,24,Gi0/1,Gi0/2
2026-07-10T12:13:00Z,2026-07-10T12:13:05Z,2001:db8::10,2001:db8::20,456,51528,6,2500,25,,
2026-07-10T12:14:00Z,2026-07-10T12:14:05Z,192.0.2.10,192.0.2.20,457,51529,6,2600,26,Gi0/1,Gi0/2
2026-07-10T12:15:00Z,2026-07-10T12:15:05Z,2001:db8::10,2001:db8::20,458,51530,6,2700,27,,
2026-07-10T12:16:00Z,2026-07-10T12:16:05Z,192.0.2.10,192.0.2.20,459,51531,6,2800,28,Gi0/1,Gi0/2
2026-07-10T12:17:00Z,2026-07-10T12:17:05Z,2001:db8::10,2001:db8::20,460,51532,6,2900,29,,
2026-07-10T12:18:00Z,2026-07-10T12:18:05Z,192.0.2.10,192.0.2.20,461,51533,6,3000,30,Gi0/1,Gi0/2
2026-07-10T12:19:00Z,2026-07-10T12:19:05Z,2001:db8::10,2001:db8::20,462,51534,6,3100,31,,
2026-07-10T12:20:00Z,2026-07-10T12:20:05Z,192.0.2.10,192.0.2.20,463,51535,6,3200,32,Gi0/1,Gi0/2
2026-07-10T12:21:00Z,2026-07-10T12:21:05Z,2001:db8::10,2001:db8::20,464,51536,6,3300,33,,
2026-07-10T12:22:00Z,2026-07-10T12:22:05Z,192.0.2.10,192.0.2.20,465,51537,6,3400,34,Gi0/1,Gi0/2
